Gene_ID	Name	SRR1796061	SRR1796064	SRR1796094	SRR1796237	SRR1796312	SRR1796318
ENSMUSG00000000223	Drp2	0	1	0	0	0	0
ENSMUSG00000000244	Tspan32	0	0	1	0	0	5
ENSMUSG00000000247	Lhx2	6	9	13	9	7	19
ENSMUSG00000000248	Clec2g	0	0	0	0	0	0
ENSMUSG00000000253	Gmpr	0	2	2	0	1	0
ENSMUSG00000000263	Glra1	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	26	42	49	24	29	54
ENSMUSG00000000275	Trim25	162	187	198	137	248	315
ENSMUSG00000000276	Dgke	7	6	14	5	7	13
ENSMUSG00000000278	Scpep1	62	66	87	51	66	103
ENSMUSG00000000282	Mnt	22	15	9	13	17	27
ENSMUSG00000000290	Itgb2	8	13	14	22	52	49
ENSMUSG00000000295	Hddc2	2	3	3	3	3	5
ENSMUSG00000000296	Tpd52l1	16	21	27	13	12	15
ENSMUSG00000000301	Pemt	404	452	644	338	392	516
ENSMUSG00000000303	Cdh1	58	54	82	23	15	35
ENSMUSG00000000305	Cdh4	6	3	1	3	4	5
ENSMUSG00000000308	Ckmt1	0	0	1	0	0	0
ENSMUSG00000000317	Bcl6b	7	5	11	4	3	5
ENSMUSG00000000318	Clec10a	2	0	2	3	1	1
ENSMUSG00000000320	Alox12	1	2	0	1	4	2
ENSMUSG00000000326	Comt	1788	2230	2677	993	1443	1846
ENSMUSG00000000339	Rtca	17	30	31	17	25	28
ENSMUSG00000000340	Dbt	257	314	304	172	214	351
ENSMUSG00000000346	Dazap2	151	143	190	112	133	191
ENSMUSG00000000355	Mcts1	39	51	70	30	57	64
ENSMUSG00000000359	Rem1	3	2	0	0	2	3
ENSMUSG00000000365	Rnf17	0	0	0	0	0	0
ENSMUSG00000000374	Trappc10	93	113	139	89	110	179
ENSMUSG00000000378	Ccm2	48	45	70	33	47	63
ENSMUSG00000000381	Wap	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	74	89	73	61	53	107
ENSMUSG00000000385	Tmprss2	9	17	12	13	30	21
ENSMUSG00000000386	Mx1	7	4	5	4	15	11
ENSMUSG00000000392	Fap	0	0	2	1	5	1
ENSMUSG00000000394	Gcg	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	248	305	402	168	227	281
ENSMUSG00000000402	Egfl6	0	0	0	0	1	0
ENSMUSG00000000409	Lck	2	1	1	0	6	5
ENSMUSG00000000411	Tssk3	0	0	0	0	0	0
ENSMUSG00000000416	Cttnbp2	0	0	3	1	2	1
ENSMUSG00000000420	Galnt1	140	160	182	70	153	189
ENSMUSG00000000435	Myf5	0	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	36	47	77	49	52	56
ENSMUSG00000000440	Pparg	14	19	16	11	34	71
ENSMUSG00000000441	Raf1	329	328	537	195	283	358
ENSMUSG00000000486	Septin1	0	0	3	4	3	14
ENSMUSG00000000489	Pdgfb	4	4	2	3	10	5
ENSMUSG00000000530	Acvrl1	9	4	11	9	28	16
ENSMUSG00000000531	Tamalin	6	5	5	1	1	3
ENSMUSG00000000532	Acvr1b	79	70	128	41	50	75
ENSMUSG00000000538	Tom1l2	75	101	114	72	90	118
ENSMUSG00000000544	Gpa33	0	0	0	0	0	0
ENSMUSG00000000552	Zfp385a	10	6	6	11	12	20
ENSMUSG00000000555	Itga5	27	38	32	34	55	70
ENSMUSG00000000560	Gabra2	0	0	0	0	0	0
ENSMUSG00000000561	Wdr77	38	33	50	14	19	34
ENSMUSG00000000562	Adora3	0	0	0	0	1	0
ENSMUSG00000000563	Atp5pb	684	794	1048	453	670	851
ENSMUSG00000000567	Sox9	3	6	4	5	2	10
ENSMUSG00000000568	Hnrnpd	42	66	72	51	44	107
ENSMUSG00000000579	Dynlt1c	1	3	3	4	2	3
ENSMUSG00000000581	C1d	73	99	133	46	88	120
ENSMUSG00000000594	Gm2a	226	193	245	262	333	478
ENSMUSG00000000600	Krit1	90	135	117	58	113	160
ENSMUSG00000000605	Clcn4	156	158	209	104	146	190
ENSMUSG00000000606	Vmn2r88	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	0	0	0	0	0	0
ENSMUSG00000000627	Sema4f	1	0	1	1	0	1
ENSMUSG00000000628	Hk2	5	2	5	5	16	11
ENSMUSG00000000631	Myo18a	337	433	421	330	300	506
ENSMUSG00000000632	Sez6	0	0	0	0	0	0
ENSMUSG00000000673	Haao	675	701	1059	533	679	935
ENSMUSG00000000682	Cd52	1	0	0	3	10	11
ENSMUSG00000000686	Abhd15	86	130	117	133	158	235
ENSMUSG00000000690	Hoxb6	0	0	0	0	0	0
ENSMUSG00000000693	Loxl3	3	3	8	6	14	7
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	0	0	0	0	0	0
ENSMUSG00000000708	Kat2b	346	357	551	270	310	468
ENSMUSG00000000711	Rab5b	205	187	276	129	202	284
ENSMUSG00000000724	Cryba1	0	0	0	0	0	0
ENSMUSG00000000730	Dnmt3l	0	0	0	0	0	0
ENSMUSG00000000731	Aire	0	0	0	0	0	0
ENSMUSG00000000732	Icosl	1	1	2	1	2	5
ENSMUSG00000000738	Spg7	127	134	194	100	131	183
ENSMUSG00000000739	Sult5a1	15	12	6	84	33	137
ENSMUSG00000000740	Rpl13	334	375	536	279	417	496
ENSMUSG00000000743	Chmp1a	128	153	184	97	117	165
ENSMUSG00000000751	Rpa1	112	148	179	63	117	200
ENSMUSG00000000753	Serpinf1	898	1005	1318	944	913	1266
ENSMUSG00000000759	Tubgcp3	56	57	77	48	66	102
ENSMUSG00000000766	Oprm1	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	14	31	34	23	10	35
ENSMUSG00000000782	Tcf7	1	2	5	3	3	9
ENSMUSG00000000787	Ddx3x	752	934	1087	422	733	916
ENSMUSG00000000791	Il12rb1	2	3	2	2	5	8
ENSMUSG00000000792	Slc5a5	0	0	0	0	0	0
ENSMUSG00000000794	Kcnn3	0	0	1	0	0	2
ENSMUSG00000000804	Usp32	167	190	241	96	162	240
ENSMUSG00000000805	Car4	0	0	0	0	0	0
ENSMUSG00000000811	Txnrd3	25	25	40	14	23	30
ENSMUSG00000000817	Fasl	0	0	1	0	1	0
ENSMUSG00000000823	Zfp512b	98	88	112	74	88	172
ENSMUSG00000000826	Dnajc5	197	261	311	164	234	323
ENSMUSG00000000827	Tpd52l2	85	104	103	67	92	113
ENSMUSG00000000838	Fmr1	56	76	100	64	92	118
ENSMUSG00000000861	Bcl11a	0	0	0	3	6	2
ENSMUSG00000000869	Il4	0	0	0	0	0	0
ENSMUSG00000000876	Pxmp4	203	166	220	120	146	226
ENSMUSG00000000881	Dlg3	43	28	58	37	35	52
ENSMUSG00000000884	Gnb1l	3	2	6	1	0	5
ENSMUSG00000000889	Dbh	0	0	0	0	0	0
ENSMUSG00000000901	Mmp11	1	0	1	2	1	2
ENSMUSG00000000902	Smarcb1	29	51	60	22	39	46
ENSMUSG00000000903	Vpreb3	1	0	0	0	0	0
ENSMUSG00000000915	Hip1r	230	368	289	52	144	204
ENSMUSG00000000916	Nsun5	31	28	46	17	28	33
ENSMUSG00000000934	Top1mt	72	67	82	47	45	90
ENSMUSG00000000938	Hoxa10	0	0	0	0	0	0
ENSMUSG00000000942	Hoxa4	1	0	0	1	3	2
ENSMUSG00000000948	Gm38393	4	2	2	3	5	6
ENSMUSG00000000957	Mmp14	42	46	48	40	64	58
ENSMUSG00000000958	Slc7a7	7	8	12	13	18	18
ENSMUSG00000000959	Oxa1l	79	98	113	73	80	118
ENSMUSG00000000976	Heatr6	49	50	51	45	48	67
ENSMUSG00000000982	Ccl3	0	0	0	0	0	1
ENSMUSG00000000983	Wfdc18	0	0	1	0	0	0
ENSMUSG00000001014	Icam4	0	1	3	1	0	1
ENSMUSG00000001016	Ilf2	35	33	69	25	35	53
ENSMUSG00000001017	Chtop	102	110	166	97	110	204
ENSMUSG00000001018	Snapin	44	42	72	36	35	56
ENSMUSG00000001020	S100a4	0	0	0	0	0	0
ENSMUSG00000001021	S100a3	0	0	0	0	0	0
ENSMUSG00000001023	S100a5	0	0	0	0	0	0
ENSMUSG00000001025	S100a6	0	0	5	4	7	4
ENSMUSG00000001027	Scn4a	0	0	0	0	0	0
ENSMUSG00000001029	Icam2	7	9	9	0	2	4
ENSMUSG00000001034	Mapk7	7	3	11	6	5	7
ENSMUSG00000001036	Epn2	33	30	40	36	38	56
ENSMUSG00000001039	B9d1	1	1	4	0	0	0
ENSMUSG00000001052	Sec24b	60	66	60	46	73	96
ENSMUSG00000001053	N4bp3	5	7	8	11	5	15
ENSMUSG00000001054	Rmnd5b	36	37	45	33	31	49
ENSMUSG00000001056	Nhp2	40	39	66	17	30	45
ENSMUSG00000001062	Vps9d1	33	42	40	34	53	92
ENSMUSG00000001065	Zfp276	66	50	65	61	64	112
ENSMUSG00000001076	C1ql4	0	1	1	3	1	2
ENSMUSG00000001082	Mfsd10	10	8	11	7	12	5
ENSMUSG00000001089	Luzp1	85	124	155	59	119	160
ENSMUSG00000001095	Slc13a2	5	2	3	5	0	3
ENSMUSG00000001098	Kctd10	38	52	70	30	57	59
ENSMUSG00000001100	Poldip2	280	303	393	179	232	335
ENSMUSG00000001103	Sebox	0	0	2	0	0	1
ENSMUSG00000001105	Ift20	97	103	130	48	87	112
ENSMUSG00000001119	Col6a1	24	21	39	27	60	66
ENSMUSG00000001120	Pcbp3	2	6	0	5	1	6
ENSMUSG00000001123	Lgals9	334	340	469	295	402	661
ENSMUSG00000001127	Araf	137	171	232	116	146	219
ENSMUSG00000001128	Cfp	25	25	30	30	46	36
ENSMUSG00000001131	Timp1	0	0	0	0	0	2
ENSMUSG00000001134	Uxt	36	40	44	25	33	34
ENSMUSG00000001138	Cnnm3	37	28	34	34	35	51
ENSMUSG00000001143	Lman2l	37	31	34	15	40	51
ENSMUSG00000001150	Mcm3ap	77	106	124	79	103	160
ENSMUSG00000001151	Pcnt	54	63	79	71	49	98
ENSMUSG00000001155	Ftcd	1237	1202	1728	1059	1005	1615
ENSMUSG00000001156	Mxd1	34	42	27	21	24	44
ENSMUSG00000001157	Gmcl1	37	51	45	32	42	64
ENSMUSG00000001158	Snrnp27	16	40	48	14	29	37
ENSMUSG00000001166	Oas1c	2	2	6	2	4	7
ENSMUSG00000001168	Oas1h	0	0	0	0	0	0
ENSMUSG00000001173	Ocrl	29	23	42	29	32	39
ENSMUSG00000001175	Calm1	411	544	716	287	533	746
ENSMUSG00000001211	Agpat3	364	360	420	319	298	603
ENSMUSG00000001225	Slc26a3	2	0	1	0	1	1
ENSMUSG00000001227	Sema6b	8	5	17	8	13	19
ENSMUSG00000001228	Uhrf1	1	1	1	2	7	4
ENSMUSG00000001229	Dpp9	113	98	112	82	93	138
ENSMUSG00000001240	Ramp2	17	16	18	6	14	18
ENSMUSG00000001247	Lsr	169	198	192	127	263	267
ENSMUSG00000001248	Gramd1a	68	103	76	38	68	117
ENSMUSG00000001249	Hpn	723	846	959	645	676	1027
ENSMUSG00000001260	Gabrg1	0	0	0	2	0	0
ENSMUSG00000001270	Ckb	10	10	21	15	24	20
ENSMUSG00000001280	Sp1	120	152	178	140	157	249
ENSMUSG00000001281	Itgb7	1	0	6	5	9	9
ENSMUSG00000001285	Myg1	21	23	30	15	21	44
ENSMUSG00000001288	Rarg	9	16	15	9	5	17
ENSMUSG00000001289	Pfdn5	111	133	174	90	120	184
ENSMUSG00000001300	Efnb2	9	12	16	6	16	9
ENSMUSG00000001305	Rrp15	27	55	48	19	34	32
ENSMUSG00000001313	Rnd2	8	11	10	2	24	18
ENSMUSG00000001323	Srr	155	143	215	153	268	361
ENSMUSG00000001333	Sync	0	0	0	0	1	0
ENSMUSG00000001334	Fndc5	4	6	10	0	2	1
ENSMUSG00000001348	Acp5	235	271	289	174	246	284
ENSMUSG00000001349	Cnn1	0	0	0	0	0	0
ENSMUSG00000001366	Fbxo9	176	166	224	139	166	226
ENSMUSG00000001376	Vps50	51	56	76	38	62	63
ENSMUSG00000001380	Hars	92	132	146	64	100	118
ENSMUSG00000001383	Zmat2	69	77	78	38	56	90
ENSMUSG00000001403	Ube2c	0	2	0	0	2	0
ENSMUSG00000001415	Smg5	106	120	154	82	118	164
ENSMUSG00000001416	Cct3	248	352	388	119	256	308
ENSMUSG00000001418	Glmp	83	91	123	51	71	102
ENSMUSG00000001419	Mef2d	48	52	42	18	43	65
ENSMUSG00000001420	Tmem79	5	11	12	3	7	11
ENSMUSG00000001424	Snd1	456	512	600	296	409	581
ENSMUSG00000001435	Col18a1	2018	2084	2540	2274	1981	2908
ENSMUSG00000001436	Slc19a1	25	38	26	8	13	22
ENSMUSG00000001440	Kpnb1	262	366	427	237	368	459
ENSMUSG00000001441	Npepps	61	98	76	44	92	105
ENSMUSG00000001444	Tbx21	0	0	1	0	0	0
ENSMUSG00000001445	Mrpl10	84	117	160	65	75	120
ENSMUSG00000001467	Cyp51	235	216	804	70	322	386
ENSMUSG00000001472	Tcf25	490	564	717	361	497	641
ENSMUSG00000001473	Tubb6	4	4	14	7	15	23
ENSMUSG00000001482	Def8	72	73	127	72	104	147
ENSMUSG00000001493	Meox1	1	0	0	0	0	0
ENSMUSG00000001494	Sost	0	0	0	0	0	0
ENSMUSG00000001496	Nkx2-1	0	0	0	0	0	0
ENSMUSG00000001497	Pax9	0	0	1	0	0	0
ENSMUSG00000001504	Irx2	0	0	0	0	0	0
ENSMUSG00000001506	Col1a1	12	1	9	12	18	45
ENSMUSG00000001507	Itga3	13	17	25	11	14	24
ENSMUSG00000001508	Sgca	0	0	0	0	0	0
ENSMUSG00000001510	Dlx3	0	0	0	0	0	0
ENSMUSG00000001517	Foxm1	0	0	4	0	5	4
ENSMUSG00000001518	Itfg2	7	17	21	12	22	31
ENSMUSG00000001520	Nrip2	0	0	0	0	0	0
ENSMUSG00000001521	Tulp3	4	9	3	6	1	10
ENSMUSG00000001524	Gtf2h4	20	23	47	31	23	45
ENSMUSG00000001525	Tubb5	68	102	149	101	162	179
ENSMUSG00000001542	Ell2	145	187	196	94	157	273
ENSMUSG00000001552	Jup	68	58	106	85	97	128
ENSMUSG00000001555	Fkbp10	3	4	3	1	1	7
ENSMUSG00000001558	Klhl10	0	0	0	2	0	1
ENSMUSG00000001566	Mnx1	0	0	0	0	0	0
ENSMUSG00000001569	Nom1	60	72	75	41	73	111
ENSMUSG00000001576	Ergic1	168	181	211	134	180	267
ENSMUSG00000001583	Tnk1	0	0	0	0	0	0
ENSMUSG00000001588	Acap1	9	4	8	3	10	7
ENSMUSG00000001604	Tcea3	58	49	93	61	72	120
ENSMUSG00000001622	Csn3	0	0	0	0	0	0
ENSMUSG00000001627	Ifrd1	92	78	144	47	73	125
ENSMUSG00000001630	Stk38l	32	46	76	23	34	71
ENSMUSG00000001632	Brpf1	65	98	67	45	71	93
ENSMUSG00000001642	Akr1b3	10	17	15	9	19	21
ENSMUSG00000001655	Hoxc13	0	0	0	0	0	0
ENSMUSG00000001656	Hoxc11	0	0	0	0	0	0
ENSMUSG00000001657	Hoxc8	0	0	0	0	0	0
ENSMUSG00000001661	Hoxc6	0	0	0	0	0	1
ENSMUSG00000001663	Gstt1	418	432	623	309	392	449
ENSMUSG00000001665	Gstt3	52	64	64	32	58	52
ENSMUSG00000001666	Ddt	104	143	174	52	99	137
ENSMUSG00000001670	Tat	4119	4202	3289	1853	4588	6352
ENSMUSG00000001672	Marveld3	8	9	9	2	4	6
ENSMUSG00000001674	Ddx18	36	56	37	27	45	50
ENSMUSG00000001687	Ubl3	169	208	226	143	207	241
ENSMUSG00000001700	Gramd3	79	59	129	64	91	139
ENSMUSG00000001707	Eef1e1	20	42	38	10	19	38
ENSMUSG00000001729	Akt1	92	125	139	84	120	148
ENSMUSG00000001739	Cldn15	0	1	4	1	0	2
ENSMUSG00000001741	Il16	7	10	23	8	22	25
ENSMUSG00000001750	Tcirg1	123	138	138	114	211	210
ENSMUSG00000001751	Naglu	74	88	100	53	81	110
ENSMUSG00000001755	Coasy	242	277	400	229	260	359
ENSMUSG00000001761	Smo	29	22	48	22	26	42
ENSMUSG00000001763	Tspan33	32	37	46	30	12	27
ENSMUSG00000001767	Crnkl1	64	79	96	38	69	103
ENSMUSG00000001768	Rin2	67	46	82	51	65	113
ENSMUSG00000001773	Folh1	0	0	0	0	3	1
ENSMUSG00000001774	Chordc1	131	296	188	50	189	214
ENSMUSG00000001783	Rtcb	149	164	228	124	154	209
ENSMUSG00000001785	Pwp1	41	52	72	35	48	60
ENSMUSG00000001786	Fbxo7	34	59	80	33	49	78
ENSMUSG00000001794	Capns1	71	75	77	55	77	111
ENSMUSG00000001802	Lrp3	24	46	48	42	28	39
ENSMUSG00000001804	Dsg4	0	0	0	0	0	0
ENSMUSG00000001815	Evx2	0	0	0	0	0	0
ENSMUSG00000001819	Hoxd13	0	0	0	0	0	0
ENSMUSG00000001823	Hoxd12	0	0	0	0	0	0
ENSMUSG00000001827	Folr1	0	0	0	0	0	0
ENSMUSG00000001829	Clpb	140	167	187	102	118	214
ENSMUSG00000001833	Septin7	148	152	200	77	161	157
ENSMUSG00000001844	Zdhhc4	38	30	45	28	24	48
ENSMUSG00000001847	Rac1	221	200	283	165	192	331
ENSMUSG00000001855	Nup214	49	58	61	49	60	95
ENSMUSG00000001864	Aif1l	0	0	0	0	0	1
ENSMUSG00000001865	Cpa3	0	0	0	0	0	0
ENSMUSG00000001870	Ltbp1	11	9	17	9	30	36
ENSMUSG00000001891	Ugp2	1268	1548	2286	825	1361	1560
ENSMUSG00000001901	Kcnh6	0	0	0	0	0	0
ENSMUSG00000001909	Trmt1	64	80	98	60	57	82
ENSMUSG00000001910	Nacc1	43	72	86	41	55	104
ENSMUSG00000001911	Nfix	109	131	111	132	81	238
ENSMUSG00000001918	Slc1a5	3	4	8	0	13	12
ENSMUSG00000001924	Uba1	475	470	652	356	503	651
ENSMUSG00000001930	Vwf	12	21	57	18	50	45
ENSMUSG00000001942	Siae	158	186	192	132	181	198
ENSMUSG00000001943	Vsig2	1	7	2	2	3	5
ENSMUSG00000001946	Esam	21	19	35	12	21	30
ENSMUSG00000001948	Spa17	2	0	0	1	0	1
ENSMUSG00000001962	Fam50a	29	44	63	22	38	64
ENSMUSG00000001964	Emd	25	23	28	14	25	37
ENSMUSG00000001983	Taco1	54	63	91	39	44	83
ENSMUSG00000001985	Grik3	0	0	0	0	0	1
ENSMUSG00000001986	Gria3	3	0	2	3	2	6
ENSMUSG00000001988	Npas1	0	0	0	0	0	0
ENSMUSG00000001995	Sipa1l2	32	20	67	94	48	85
ENSMUSG00000001998	Ap4e1	28	33	48	19	37	49
ENSMUSG00000001999	Blvra	18	31	35	19	36	38
ENSMUSG00000002006	Pdzd4	1	1	2	0	1	2
ENSMUSG00000002007	Srpk3	0	0	0	0	0	0
ENSMUSG00000002010	Idh3g	138	167	216	124	104	176
ENSMUSG00000002012	Pnck	0	0	0	0	0	1
ENSMUSG00000002014	Ssr4	158	195	234	125	138	205
ENSMUSG00000002015	Bcap31	244	276	365	164	253	352
ENSMUSG00000002017	Fam98a	51	83	76	36	47	97
ENSMUSG00000002020	Ltbp2	0	2	3	0	7	7
ENSMUSG00000002028	Kmt2a	103	130	109	90	138	203
ENSMUSG00000002031	Ift46	71	68	83	68	87	103
ENSMUSG00000002032	Tmem25	74	99	79	64	67	93
ENSMUSG00000002033	Cd3g	0	1	1	2	1	3
ENSMUSG00000002043	Trappc6a	25	37	41	29	38	36
ENSMUSG00000002052	Supt6	160	242	204	121	172	249
ENSMUSG00000002055	Spag5	0	4	3	0	4	5
ENSMUSG00000002057	Foxn1	0	0	0	0	0	0
ENSMUSG00000002058	Unc119	16	20	32	9	5	19
ENSMUSG00000002059	Rab34	9	20	14	6	13	18
ENSMUSG00000002064	Sdf2	53	58	82	29	44	71
ENSMUSG00000002068	Ccne1	14	10	16	8	5	19
ENSMUSG00000002076	Hsf2bp	0	2	2	7	5	13
ENSMUSG00000002083	Bbc3	2	3	6	2	3	8
ENSMUSG00000002100	Mybpc3	0	0	0	0	0	2
ENSMUSG00000002102	Psmc3	281	270	417	172	240	331
ENSMUSG00000002103	Acp2	121	167	185	113	163	234
ENSMUSG00000002104	Rapsn	0	0	0	0	0	0
ENSMUSG00000002105	Slc39a13	18	26	23	14	24	34
ENSMUSG00000002107	Celf2	33	47	40	25	48	71
ENSMUSG00000002108	Nr1h3	211	239	304	146	238	281
ENSMUSG00000002109	Ddb2	15	7	18	16	19	26
ENSMUSG00000002111	Spi1	2	6	8	7	12	5
ENSMUSG00000002129	Sf3a1	41	71	51	31	43	72
ENSMUSG00000002147	Stat6	135	156	215	97	146	180
ENSMUSG00000002190	Clgn	0	0	0	0	0	0
ENSMUSG00000002204	Napsa	1	1	0	0	0	3
ENSMUSG00000002205	Vrk3	46	43	58	43	52	57
ENSMUSG00000002210	Smg9	14	8	18	10	17	18
ENSMUSG00000002221	Paxip1	56	38	58	43	48	72
ENSMUSG00000002222	Rmnd5a	561	586	751	452	644	940
ENSMUSG00000002227	Mov10	58	76	61	47	88	106
ENSMUSG00000002228	Ppm1j	0	0	0	0	0	0
ENSMUSG00000002233	Rhoc	8	12	26	8	19	17
ENSMUSG00000002240	Prr27	0	0	0	0	0	0
ENSMUSG00000002249	Tead3	11	13	25	20	24	23
ENSMUSG00000002250	Ppard	11	10	12	8	5	18
ENSMUSG00000002257	Def6	1	0	2	0	2	2
ENSMUSG00000002265	Peg3	29	15	31	13	28	47
ENSMUSG00000002266	Zim1	0	0	0	0	0	1
ENSMUSG00000002274	Metrn	11	5	4	1	3	10
ENSMUSG00000002279	Lmf1	67	81	101	93	59	121
ENSMUSG00000002280	Ciao3	72	62	82	44	51	84
ENSMUSG00000002289	Angptl4	302	170	377	183	168	307
ENSMUSG00000002297	Dbf4	5	18	9	14	22	27
ENSMUSG00000002307	Daxx	29	41	51	28	31	46
ENSMUSG00000002308	Cd320	7	7	8	3	10	6
ENSMUSG00000002319	Ipo4	31	52	48	21	34	38
ENSMUSG00000002320	Tm9sf1	112	160	174	71	116	163
ENSMUSG00000002324	Rec8	1	0	1	0	0	1
ENSMUSG00000002325	Irf9	76	80	86	50	121	105
ENSMUSG00000002326	Gmpr2	25	30	47	21	29	40
ENSMUSG00000002329	Mdp1	28	32	45	16	20	39
ENSMUSG00000002332	Dhrs1	278	322	442	171	206	391
ENSMUSG00000002341	Ncan	0	0	0	0	0	0
ENSMUSG00000002342	Tmem161a	60	70	75	36	53	64
ENSMUSG00000002343	Armc6	13	13	19	6	17	25
ENSMUSG00000002345	Borcs8	21	29	28	29	18	25
ENSMUSG00000002346	Slc25a42	137	125	133	102	92	195
ENSMUSG00000002365	Snx9	95	137	168	116	151	206
ENSMUSG00000002372	Ranbp3	64	77	101	55	74	93
ENSMUSG00000002379	Ndufa11	91	89	94	52	73	95
ENSMUSG00000002384	Bmp8b	0	0	0	0	1	0
ENSMUSG00000002393	Nr2f6	221	265	365	216	216	333
ENSMUSG00000002395	Use1	57	74	90	47	68	88
ENSMUSG00000002396	Ocel1	36	36	57	34	33	62
ENSMUSG00000002409	Dyrk1b	22	12	19	24	10	32
ENSMUSG00000002413	Braf	112	110	146	82	117	156
ENSMUSG00000002416	Ndufb2	19	32	33	22	26	42
ENSMUSG00000002428	Hltf	39	52	78	37	70	119
ENSMUSG00000002455	Prpf6	225	306	291	103	125	184
ENSMUSG00000002458	Rgs19	1	7	6	6	5	6
ENSMUSG00000002459	Rgs20	1	1	0	0	0	0
ENSMUSG00000002475	Abhd3	167	200	209	115	185	225
ENSMUSG00000002477	Snrpd1	19	23	20	10	17	23
ENSMUSG00000002486	Tchp	6	4	4	7	12	10
ENSMUSG00000002489	Tiam1	12	10	6	5	5	10
ENSMUSG00000002496	Tsc2	112	141	127	132	126	181
ENSMUSG00000002500	Rpl3l	0	0	0	0	0	0
ENSMUSG00000002504	Slc9a3r2	29	39	56	27	38	56
ENSMUSG00000002524	Puf60	148	154	225	112	112	181
ENSMUSG00000002546	Golga2	108	126	163	78	127	186
ENSMUSG00000002550	Uck1	55	67	98	57	99	125
ENSMUSG00000002565	Scin	0	0	0	0	0	0
ENSMUSG00000002578	Ikzf4	3	14	2	0	0	2
ENSMUSG00000002580	Mien1	54	52	101	38	66	69
ENSMUSG00000002588	Pon1	1311	1466	1791	973	1241	1695
ENSMUSG00000002602	Axl	72	60	77	53	170	143
ENSMUSG00000002603	Tgfb1	10	17	30	17	16	19
ENSMUSG00000002608	Ccdc97	26	29	28	26	25	56
ENSMUSG00000002617	Zfp40	1	8	9	8	10	20
ENSMUSG00000002625	Akap8l	64	90	107	67	80	118
ENSMUSG00000002633	Shh	1	2	1	2	0	0
ENSMUSG00000002635	Pdcd2l	24	25	36	16	23	20
ENSMUSG00000002658	Gtf2f1	29	61	58	33	60	58
ENSMUSG00000002660	Clpp	107	121	153	65	79	136
ENSMUSG00000002661	Alkbh7	13	22	27	16	16	13
ENSMUSG00000002664	Pspn	0	0	0	0	0	0
ENSMUSG00000002668	Dennd1c	3	3	5	2	9	7
ENSMUSG00000002679	Med6	20	21	34	19	22	30
ENSMUSG00000002688	Prkd1	2	0	0	0	2	1
ENSMUSG00000002699	Lcp2	7	6	5	18	36	24
ENSMUSG00000002718	Cse1l	102	118	177	69	120	157
